name,subname,epp,sd,alde,greens,efdd,gue,ni,new,ecr,enf,id,re
Austria,,7 (+2),5 (0),,2 (-1),,,,,,,3 (-1),1 (0)
Belgium,,4 (0),3 (-1),,3 (+1),,1 (+1),,,3 (-1),,3 (+2),4 (-2)
Bulgaria,,7 (0),5 (+1),,,,,,,2 (0),,,3 (-1)
Croatia,,4 (-1),3 (+1),,0 (-1),,,2 (+2),,1 (0),,,1 (-1)
Cyprus,,2 (+1),2 (0),,,,2 (0),,,0 (-1),,,
Czech Republic,,5 (-2),0 (-4),,3 (+3),0 (-1),1 (-2),,,4 (+2),,2 (+2),6 (+2)
Denmark,,1 (0),3 (0),,2 (+1),,1 (0),0 (-1),,0 (-3),,1 (+1),5 (+2)
Estonia,,0 (-1),2 (+1),,0 (-1),,,,,,,1 (+1),3 (0)
Finland,,3 (0),2 (0),,2 (+1),,1 (0),,,0 (-2),,2 (+2),3 (-1)
France,,8 (-12),5 (-7),,12 (+6),0 (-6),6 (+1),0 (-3),,,,22 (+7),21 (+14)
Germany,,29 (-5),16 (-11),,25 (+12),0 (-1),6 (-2),1 (-1),,1 (-5),,11 (+10),7 (+3)
Greece,,8 (+3),2 (-2),,,,6 (0),4 (-1),,1 (0),,,
Hungary,,13 (+1),5 (+1),,0 (-2),,,1 (-2),,,,,2 (+2)
Ireland,,4 (0),0 (-1),,2 (+2),,4 (0),,,0 (-1),,,1 (0)
Italy,,7 (-6),19 (-12),,0 (-1),0 (-14),0 (-3),14 (+13),,5 (+1),,28 (+22),
Latvia,,2 (-2),2 (+1),,1 (0),,,,,2 (+1),,,1 (0)
Lithuania,,4 (+1),2 (0),,2 (+1),0 (-1),,,,1 (0),,,2 (-1)
Luxembourg,,2 (-1),1 (0),,1 (0),,,,,,,,2 (+1)
Malta,,2 (-1),4 (+1),,,,,,,,,,
Netherlands,,6 (+1),6 (+3),,3 (+1),,1 (-2),,,4 (+2),,0 (-4),6 (-1)
Poland,,17 (-5),8 (+3),,,0 (-1),,0 (-3),,26 (+8),,0 (-2),
Portugal,,7 (-1),9 (+1),,1 (+1),,4 (0),,,,,,0 (-1)
Romania,,14 (+1),10 (-3),,,,,0 (-1),,0 (-2),,,8 (+5)
Slovakia,,4 (-2),3 (-1),,,,,2 (+2),,2 (-1),,,2 (+2)
Slovenia,,4 (-1),2 (+1),,0 (-1),,,,,,,,2 (+1)
Spain,,12 (-5),20 (+6),,2 (-3),,6 (-4),3 (+3),,3 (+3),,,8 (0)
Sweden,,6 (+2),5 (-1),,2 (-2),,1 (0),,,3 (+1),,,3 (0)
United Kingdom,,0 (-2),10 (-8),,11 (+5),0 (-18),1 (+1),30 (+27),,4 (-15),,0 (-4),17 (+16)
